Bezeichnung_(Bezirksregion),Straftaten(insgesamt),Raub(insgesamt),"Straßenraub,Handtaschen-raub",Körper-verletzungen(insgesamt),Gefährl._und_schwere_Körper-verletzung,"Freiheits-beraubung,_Nötigung,Bedrohung,_Nachstellung",Diebstahl(insgesamt),Diebstahl_von_Kraftwagen,Diebstahl_an/aus_Kfz,Fahrrad-diebstahl,Wohnraum-einbruch,Branddelikte(insgesamt),Brand-stiftung,Sach-beschädigung(insgesamt),Sach-beschädigung_durch_Graffiti,Rauschgift_Delikte,Kieztaten,Jahr
Pankow,44156,303,151,2667,619,952,26188,753,3356,4568,1068,196,81,4243,1312,510,11472,2015
Charlottenburg-Wilmersdorf,56593,536,288,3805,880,1355,30622,741,4499,3824,1567,145,64,3489,653,885,10407,2015
Spandau,26747,269,142,2622,577,1074,11832,369,1755,924,586,153,64,2269,357,493,6631,2015
Steglitz-Zehlendorf,25128,180,98,1596,315,740,13437,495,2481,2352,1281,86,34,2457,651,356,4478,2015
Tempelhof-Schöneberg,41545,425,247,3119,709,1186,20377,577,2967,2917,1044,171,58,3409,702,1090,7933,2015
Neukölln,47014,582,326,3762,1018,1367,21691,541,3226,2383,1182,253,108,4161,670,1683,9854,2015
Treptow-Köpenick,24129,197,98,1864,437,730,11706,460,1764,2079,709,155,70,2468,595,517,4798,2015
Marzahn-Hellersdorf,23245,222,121,2841,534,875,9624,584,1941,995,684,186,44,2655,505,367,5724,2015
Lichtenberg,25619,212,110,2351,502,645,12785,735,2133,1854,730,148,58,2542,568,387,5669,2015
Reinickendorf,30801,325,163,2891,653,1152,13835,372,2452,1232,823,131,50,2653,649,869,6959,2015
Mitte,91321,1014,521,6779,1736,2084,41934,535,4352,4669,1524,305,125,5406,1177,2883,15703,2014
Friedrichshain-Kreuzberg,62194,940,650,4766,1519,1212,28793,485,3107,4335,904,314,109,5034,1015,3039,11082,2014
Pankow,39803,313,170,2587,635,951,24304,816,3074,4662,1138,172,70,3994,1036,500,8463,2014
Charlottenburg-Wilmersdorf,53322,641,338,3847,907,1493,26829,767,4674,3117,1746,134,58,3422,792,1208,10047,2014
Spandau,26499,344,195,2724,619,988,11391,312,1885,1174,555,174,70,2446,331,549,6408,2014
Steglitz-Zehlendorf,25072,210,115,1575,303,789,13092,582,2808,1867,1379,139,52,2585,616,433,4695,2014
Tempelhof-Schöneberg,40184,496,306,3117,710,1255,19062,504,3336,2547,1117,213,73,3367,651,1146,8064,2014
Neukölln,44978,580,320,3952,1047,1428,19689,538,3482,1732,1281,218,91,4253,746,1183,9544,2014
Treptow-Köpenick,23250,209,132,1804,377,727,11867,566,2603,4547,495,143,72,2517,576,392,4729,2014
Marzahn-Hellersdorf,24285,260,159,2982,545,911,9507,477,1783,1173,381,162,58,2565,448,344,6181,2014
Lichtenberg,25618,236,141,2382,487,780,12407,695,2467,1752,535,133,53,2508,559,378,5708,2014
Reinickendorf,29187,340,181,2682,636,1115,13375,352,2461,1354,1094,215,77,2586,477,829,7076,2014
